| Date                      |        Open |       Close |   Volume |       EMA_5 |      KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
| 2010-04-28 00:00:00-04:00 | 1.22017e+07 | 1.28033e+07 |        0 | 1.24644e+07 | 1.2398e+07  |         1 | 1.32071e+07 | 1.19244e+07 |               1 |                   1 | True        |
| 2010-04-29 00:00:00-04:00 | 1.29953e+07 | 1.20823e+07 |        0 | 1.2388e+07  | 1.22928e+07 |         1 | 1.32071e+07 | 1.19244e+07 |               1 |                   1 | True        |
| 2010-04-30 00:00:00-04:00 | 1.23724e+07 | 1.37419e+07 |        0 | 1.26588e+07 | 1.27758e+07 |         1 | 1.32071e+07 | 1.19244e+07 |               1 |                   1 | True        |
| 2010-05-03 00:00:00-04:00 | 1.32555e+07 | 1.26796e+07 |        0 | 1.26629e+07 | 1.27437e+07 |         1 | 1.56484e+07 | 1.26753e+07 |               1 |                   1 | True        |
| 2010-05-04 00:00:00-04:00 | 1.3119e+07  | 1.43477e+07 |        0 | 1.29999e+07 | 1.32784e+07 |         0 | 1.56484e+07 | 1.26753e+07 |               1 |                   1 | True        |
| 2010-05-05 00:00:00-04:00 | 1.72531e+07 | 1.48127e+07 |        0 | 1.33625e+07 | 1.37898e+07 |         0 | 1.56484e+07 | 1.26753e+07 |               1 |                   1 | True        |
| 2010-05-06 00:00:00-04:00 | 1.50815e+07 | 1.58025e+07 |        0 | 1.38505e+07 | 1.44607e+07 |         0 | 1.56484e+07 | 1.26753e+07 |               1 |                   1 | True        |
| 2010-05-07 00:00:00-04:00 | 1.68649e+07 | 1.68691e+07 |        0 | 1.44542e+07 | 1.52635e+07 |         0 | 1.56484e+07 | 1.26753e+07 |               1 |                   1 | True        |
| 2010-05-10 00:00:00-04:00 | 1.44842e+07 | 1.39936e+07 |        0 | 1.43621e+07 | 1.48402e+07 |         0 | 1.54582e+07 | 1.53055e+07 |               1 |                   1 | True        |
| 2010-05-11 00:00:00-04:00 | 1.47701e+07 | 1.42709e+07 |        0 | 1.43438e+07 | 1.46505e+07 |         0 | 1.54582e+07 | 1.53055e+07 |               1 |                   1 | True        |
| 2010-05-12 00:00:00-04:00 | 1.38912e+07 | 1.30081e+07 |        1 | 1.40767e+07 | 1.4103e+07  |         1 | 1.54582e+07 | 1.53055e+07 |               1 |                   0 | True        |
| 2010-05-13 00:00:00-04:00 | 1.35883e+07 | 1.40832e+07 |        1 | 1.4078e+07  | 1.40964e+07 |         1 | 1.54582e+07 | 1.53055e+07 |               1 |                   0 | True        |
| 2010-05-14 00:00:00-04:00 | 1.48554e+07 | 1.53631e+07 |        0 | 1.4335e+07  | 1.45186e+07 |         0 | 1.54582e+07 | 1.53055e+07 |               1 |                   1 | True        |
| 2010-05-17 00:00:00-04:00 | 1.56703e+07 | 1.46592e+07 |        0 | 1.43998e+07 | 1.45655e+07 |         0 | 1.56878e+07 | 1.61161e+07 |               0 |                   0 | False       |
| 2010-05-18 00:00:00-04:00 | 1.44373e+07 | 1.5922e+07  |        0 | 1.47043e+07 | 1.50176e+07 |         0 | 1.56878e+07 | 1.61161e+07 |               0 |                   1 | False       |
